epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1811,2.39267,3.55755,2.53315,0.00903,0.86712,0.05276,0.01525,2.31105,3.28476,2.60742,0.000468525,0.000468525,0.000468525
2,57.896,1.76794,2.73403,1.88128,0.85785,0.09784,0.11408,0.03147,2.26071,2.71162,2.60438,0.000851317,0.000851317,0.000851317
3,87.6269,1.52106,2.26787,1.66862,0.54523,0.38172,0.26394,0.10541,2.18176,2.5794,2.70613,0.0011398,0.0011398,0.0011398
4,115.723,1.40998,2.12017,1.5894,0.59877,0.47969,0.40831,0.17424,1.87009,3.35023,2.55571,0.00100459,0.00100459,0.00100459
5,141.817,1.11872,1.77293,1.39549,0.56511,0.50455,0.40304,0.18441,1.81008,3.82267,2.56964,0.000863116,0.000863116,0.000863116
6,176.305,1.06025,1.48108,1.33474,0.76878,0.40378,0.40674,0.18643,1.88514,2.5722,2.63301,0.000721645,0.000721645,0.000721645
7,202.731,1.04578,1.5338,1.3187,0.77206,0.46052,0.43574,0.20372,1.71861,1.85474,2.54979,0.000580174,0.000580174,0.000580174
8,233.7,0.93597,1.28444,1.2593,0.78671,0.42425,0.43911,0.22761,1.55829,1.82546,2.37699,0.000438703,0.000438703,0.000438703
9,260.359,0.8436,1.25657,1.24174,0.82597,0.453,0.45173,0.24011,1.50245,1.62923,2.42374,0.000297232,0.000297232,0.000297232
10,286.417,0.84826,1.35526,1.22117,0.85523,0.37862,0.43126,0.24001,1.47938,1.51107,2.38541,0.000155761,0.000155761,0.000155761
