epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.583,1.56741,2.29223,1.7938,0.68123,0.40514,0.50609,0.2522,1.3371,1.38894,1.87879,0.000474968,0.000474968,0.000474968
2,735.631,0.90012,1.31182,1.24723,0.74818,0.53179,0.5683,0.25731,1.31451,1.72889,2.12974,0.000857123,0.000857123,0.000857123
3,1212.74,0.79639,1.14007,1.16561,0.552,0.61121,0.56926,0.28316,1.3007,1.17936,1.95082,0.00114496,0.00114496,0.00114496
4,1616.43,0.75327,1.01825,1.12575,0.561,0.64135,0.5954,0.27839,1.33522,1.25661,2.05765,0.00100459,0.00100459,0.00100459
5,1793.77,0.66198,0.84143,1.08301,0.59239,0.71149,0.65196,0.29177,1.21087,1.32667,2.00005,0.000863116,0.000863116,0.000863116
6,1977.57,0.62809,0.79254,1.06822,0.73165,0.61025,0.65035,0.34194,1.13891,0.85069,1.99156,0.000721645,0.000721645,0.000721645
7,2122.78,0.53688,0.68955,1.0133,0.58394,0.77674,0.64679,0.31727,1.12288,1.07908,1.96701,0.000580174,0.000580174,0.000580174
8,2300.19,0.50401,0.63395,0.98958,0.71733,0.82619,0.81165,0.40601,1.04085,0.95941,1.91141,0.000438703,0.000438703,0.000438703
9,2513.16,0.45839,0.58205,0.97289,0.63974,0.82249,0.78265,0.41109,1.08531,1.04418,1.96098,0.000297232,0.000297232,0.000297232
10,2689.47,0.41252,0.54317,0.9491,0.67056,0.85476,0.82866,0.43179,0.99129,0.89326,1.92645,0.000155761,0.000155761,0.000155761
