epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.422,0.96891,0.92953,1.01117,0.76824,0.62531,0.76048,0.54647,0.94626,0.75874,1.04134,0.000473611,0.000473611,0.000473611
2,188.628,1.00724,0.70589,1.03579,0.76012,0.79952,0.85151,0.58697,1.01102,0.89829,1.07541,0.00094054,0.00094054,0.00094054
3,267.861,0.99548,0.68977,1.02885,0.81705,0.79995,0.86134,0.60718,0.97906,0.73209,1.0496,0.00139804,0.00139804,0.00139804
4,346.902,0.96381,0.65159,1.01827,0.89206,0.82266,0.91827,0.72007,0.91739,0.65395,1.02611,0.00138656,0.00138656,0.00138656
5,425.83,0.94014,0.63178,1.01023,0.88495,0.88078,0.92826,0.72804,0.8904,0.60707,1.01413,0.00137241,0.00137241,0.00137241
6,504.788,0.90868,0.61408,0.99466,0.89894,0.84408,0.9198,0.70185,0.88642,0.63122,1.01225,0.00135826,0.00135826,0.00135826
7,583.758,0.89164,0.5996,0.98729,0.91882,0.84384,0.93389,0.75234,0.83811,0.59475,0.99881,0.00134412,0.00134412,0.00134412
8,662.742,0.88845,0.59639,0.98888,0.90398,0.86451,0.9314,0.75787,0.83925,0.60606,0.99009,0.00132997,0.00132997,0.00132997
9,741.468,0.87856,0.58476,0.98629,0.87845,0.86471,0.93352,0.76492,0.81554,0.56947,0.98364,0.00131582,0.00131582,0.00131582
10,820.399,0.86557,0.58211,0.97939,0.89672,0.83015,0.92084,0.73175,0.82889,0.58238,0.98951,0.00130168,0.00130168,0.00130168
11,899.187,0.863,0.57348,0.97972,0.9015,0.8729,0.94346,0.77789,0.7987,0.56024,0.98003,0.00128753,0.00128753,0.00128753
12,978.255,0.84755,0.56269,0.97535,0.9049,0.87538,0.93894,0.78547,0.79889,0.56522,0.97362,0.00127338,0.00127338,0.00127338
13,1057.1,0.83592,0.55597,0.96838,0.91243,0.88724,0.95098,0.78618,0.80581,0.54072,0.98576,0.00125923,0.00125923,0.00125923
14,1136.19,0.83409,0.55735,0.96806,0.88751,0.87894,0.9453,0.76639,0.80881,0.5634,0.97843,0.00124509,0.00124509,0.00124509
15,1214.99,0.82522,0.5504,0.96577,0.91078,0.88219,0.94991,0.79716,0.79171,0.54947,0.96844,0.00123094,0.00123094,0.00123094
16,1293.9,0.82979,0.54933,0.96818,0.90694,0.88747,0.95274,0.794,0.78528,0.52513,0.9744,0.00121679,0.00121679,0.00121679
17,1372.77,0.8133,0.53731,0.96322,0.8947,0.87083,0.94102,0.78305,0.78313,0.53551,0.96933,0.00120265,0.00120265,0.00120265
18,1451.56,0.81715,0.53794,0.96098,0.91111,0.78184,0.92969,0.77621,0.78149,0.52947,0.97275,0.0011885,0.0011885,0.0011885
19,1535.97,0.8106,0.53502,0.96087,0.92626,0.84319,0.93836,0.77731,0.79011,0.5532,0.97429,0.00117435,0.00117435,0.00117435
20,1614.79,0.80138,0.52886,0.95779,0.90328,0.86422,0.94725,0.80511,0.77002,0.51883,0.96777,0.00116021,0.00116021,0.00116021
21,1693.72,0.79868,0.5211,0.95592,0.88381,0.9085,0.95439,0.79764,0.76288,0.51644,0.96152,0.00114606,0.00114606,0.00114606
22,1772.52,0.79851,0.52573,0.95484,0.90017,0.88644,0.95323,0.79932,0.74959,0.5146,0.95588,0.00113191,0.00113191,0.00113191
23,1851.82,0.79456,0.52429,0.95412,0.91881,0.89191,0.95198,0.81367,0.7663,0.51993,0.95986,0.00111776,0.00111776,0.00111776
