epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2569,1.19079,2.02209,1.60395,0.32929,0.45984,0.35781,0.18931,1.42056,2.93376,2.21774,0.000546406,0.000546406,0.000546406
2,51.378,0.90637,1.22024,1.33974,0.62515,0.41107,0.49567,0.36413,0.86636,5.53681,1.5363,0.00108025,0.00108025,0.00108025
3,76.7188,0.80457,1.01261,1.25713,0.27826,0.33879,0.29232,0.20429,1.08583,5.73522,1.92122,0.00159209,0.00159209,0.00159209
4,101.923,0.80181,0.98972,1.26014,0.8306,0.38858,0.46726,0.34509,0.87314,3.40865,1.42561,0.00156798,0.00156798,0.00156798
5,127.259,0.67906,0.85406,1.17081,0.86853,0.43843,0.5226,0.44779,0.69355,1.62649,1.13987,0.00153497,0.00153497,0.00153497
6,152.328,0.65526,0.80568,1.16248,0.73534,0.73215,0.77016,0.6124,0.56491,0.64489,1.016,0.00150197,0.00150197,0.00150197
7,177.467,0.59106,0.72229,1.11295,0.6531,0.68951,0.70104,0.59733,0.47492,0.58373,0.91607,0.00146896,0.00146896,0.00146896
8,202.363,0.55898,0.68409,1.08686,0.65782,0.77338,0.68656,0.58493,0.46932,0.57605,0.91063,0.00143595,0.00143595,0.00143595
9,227.233,0.53057,0.6652,1.06736,0.64319,0.7218,0.66505,0.57489,0.44782,0.68435,0.903,0.00140295,0.00140295,0.00140295
10,252.096,0.51181,0.62047,1.06548,0.65693,0.76865,0.73361,0.55945,0.53896,0.64146,0.97944,0.00136994,0.00136994,0.00136994
11,276.946,0.5083,0.60278,1.05918,0.87199,0.81728,0.86297,0.71124,0.43122,0.54129,0.87776,0.00133693,0.00133693,0.00133693
12,301.925,0.48687,0.58648,1.03888,0.80767,0.80806,0.85336,0.70079,0.36738,0.43759,0.84096,0.00130393,0.00130393,0.00130393
13,326.821,0.46832,0.55154,1.02926,0.89226,0.86723,0.90693,0.76317,0.35293,0.40624,0.80842,0.00127092,0.00127092,0.00127092
14,351.793,0.43977,0.51309,1.00896,0.89512,0.8772,0.91413,0.76754,0.35144,0.3596,0.8169,0.00123791,0.00123791,0.00123791
15,376.762,0.43299,0.51274,1.0097,0.91204,0.9124,0.93655,0.79581,0.35006,0.36941,0.79807,0.00120491,0.00120491,0.00120491
16,401.74,0.42814,0.49803,1.00669,0.92335,0.89523,0.94141,0.80667,0.32345,0.3213,0.80354,0.0011719,0.0011719,0.0011719
17,426.719,0.41726,0.49034,0.99958,0.87817,0.90196,0.92856,0.80202,0.31132,0.30518,0.78173,0.00113889,0.00113889,0.00113889
18,451.578,0.41269,0.4839,0.99164,0.91479,0.88804,0.93012,0.80619,0.31738,0.30722,0.78123,0.00110589,0.00110589,0.00110589
19,476.448,0.38946,0.45551,0.98224,0.92534,0.93055,0.94587,0.81377,0.34481,0.33529,0.79586,0.00107288,0.00107288,0.00107288
20,501.861,0.39843,0.45929,0.99217,0.93365,0.89864,0.94547,0.81791,0.33916,0.31496,0.79319,0.00103987,0.00103987,0.00103987
21,526.822,0.38776,0.44778,0.98171,0.93295,0.91297,0.95103,0.83126,0.30003,0.27924,0.77483,0.00100687,0.00100687,0.00100687
22,551.835,0.37912,0.4306,0.97139,0.92834,0.91852,0.95035,0.83525,0.31122,0.28826,0.77297,0.000973861,0.000973861,0.000973861
23,576.833,0.3714,0.42997,0.96856,0.94713,0.93618,0.96522,0.82268,0.31025,0.26907,0.78942,0.000940855,0.000940855,0.000940855
24,601.672,0.35367,0.41018,0.96828,0.9495,0.91865,0.95519,0.84939,0.28252,0.2684,0.76156,0.000907848,0.000907848,0.000907848
25,626.642,0.34257,0.40362,0.9582,0.9384,0.932,0.9633,0.84829,0.2829,0.27254,0.77111,0.000874842,0.000874842,0.000874842
26,651.488,0.35623,0.40535,0.95813,0.97627,0.91866,0.96176,0.8559,0.28331,0.24889,0.7571,0.000841835,0.000841835,0.000841835
27,676.643,0.35196,0.40032,0.95808,0.96403,0.95508,0.96728,0.85817,0.28973,0.2466,0.76881,0.000808828,0.000808828,0.000808828
28,702.003,0.33418,0.39209,0.95265,0.96892,0.91954,0.95802,0.85208,0.27444,0.23768,0.75979,0.000775822,0.000775822,0.000775822
29,726.824,0.32986,0.38084,0.9467,0.94938,0.95051,0.96277,0.86672,0.27042,0.24007,0.74921,0.000742815,0.000742815,0.000742815
30,751.961,0.33056,0.37304,0.94519,0.94882,0.94577,0.96944,0.87339,0.2627,0.23431,0.75964,0.000709809,0.000709809,0.000709809
31,776.978,0.31381,0.36238,0.93555,0.96398,0.94412,0.97013,0.87667,0.25118,0.23631,0.74159,0.000676802,0.000676802,0.000676802
32,801.917,0.30724,0.35894,0.932,0.9528,0.94299,0.96889,0.87379,0.24365,0.2264,0.73351,0.000643795,0.000643795,0.000643795
33,826.743,0.30074,0.3556,0.93396,0.95666,0.94957,0.975,0.87711,0.23449,0.2155,0.73429,0.000610789,0.000610789,0.000610789
34,853.52,0.30128,0.34832,0.93242,0.97291,0.94549,0.96711,0.86875,0.25317,0.21931,0.73984,0.000577782,0.000577782,0.000577782
35,878.329,0.29183,0.34233,0.92363,0.96538,0.94587,0.96904,0.87857,0.24538,0.21202,0.73163,0.000544776,0.000544776,0.000544776
36,903.265,0.28704,0.34501,0.92917,0.96555,0.92434,0.97397,0.87819,0.24073,0.21267,0.73679,0.000511769,0.000511769,0.000511769
37,928.446,0.27754,0.32516,0.91947,0.97646,0.94,0.96534,0.87632,0.23552,0.19735,0.73441,0.000478762,0.000478762,0.000478762
38,953.273,0.27516,0.31871,0.91516,0.98659,0.94419,0.97349,0.88899,0.23307,0.18863,0.72977,0.000445756,0.000445756,0.000445756
